PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_q,Embarked_s,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_Unknown,FamilySize,IsAlone,FarePerPerson
1,0,3,-0.5348911628688886,0.4327933656785018,-0.4736736092984604,-0.5641087873940193,True,False,True,False,False,False,False,False,False,False,True,0.9591197563800413,0,-0.58815260934996
2,1,1,0.6683917564561223,0.4327933656785018,-0.4736736092984604,0.942548054663804,False,False,False,False,True,False,False,False,False,False,False,0.9591197563800413,0,0.9827219681317138
3,1,3,-0.2340704330376359,-0.4745451962498395,-0.4736736092984604,-0.548226529750121,False,False,True,False,False,False,False,False,False,False,True,0.05178119445170015,0,-10.587367393803348
4,1,1,0.4427762090826827,0.4327933656785018,-0.4736736092984604,0.5147082688618853,False,False,True,False,True,False,False,False,False,False,False,0.9591197563800413,0,0.5366465088828151
5,0,3,0.4427762090826827,-0.4745451962498395,-0.4736736092984604,-0.5452853709271769,True,False,True,False,False,False,False,False,False,False,True,0.05178119445170015,0,-10.530567645282916
6,0,3,-0.3092756154954491,-0.4745451962498395,-0.4736736092984604,-0.5356783697479123,True,True,False,False,False,False,False,False,False,False,True,0.05178119445170015,0,-10.345036946715782
7,0,1,1.8716746757811331,-0.4745451962498395,-0.4736736092984604,0.4855907965147383,True,False,True,False,False,False,True,False,False,False,False,0.05178119445170015,0,9.377744211128269
8,0,3,-2.038994812025152,2.247470489535184,0.7676298785983874,-0.2388166215763992,True,False,True,False,False,False,False,False,False,False,True,4.015100368133571,0,-0.059479614375720746
9,1,3,-0.1588652505798227,-0.4745451962498395,2.008933366495236,-0.4727375709369079,False,False,True,False,False,False,False,False,False,False,True,2.5343881702453963,0,-0.18652926828139918
10,1,2,-1.136532622531394,0.4327933656785018,-0.4736736092984604,-0.0271520092608733,False,False,False,False,False,False,False,False,False,False,True,0.9591197563800413,0,-0.02830930035614301
11,1,3,-1.8885844471095257,0.4327933656785018,0.7676298785983874,-0.3417571803794436,False,False,True,False,False,False,False,False,True,False,False,2.200423244276889,0,-0.15531429295174212
12,1,1,2.172495405612386,-0.4745451962498395,-0.4736736092984604,-0.1099938651314466,False,False,True,False,True,False,False,False,False,False,False,0.05178119445170015,0,-2.124204864259077
13,0,3,-0.685301527784515,-0.4745451962498395,-0.4736736092984604,-0.5452853709271769,True,False,True,False,False,False,False,False,False,False,True,0.05178119445170015,0,-10.530567645282916
14,0,3,0.7435969389139355,0.4327933656785018,5.73284383018578,0.0011819383758412,True,False,True,False,False,False,False,False,False,False,True,7.1656371958642815,0,0.00016494532775443438
15,0,3,-1.136532622531394,-0.4745451962498395,-0.4736736092984604,-0.5498924021074366,False,False,True,False,False,False,False,False,False,False,True,0.05178119445170015,0,-10.61953877136532
16,1,2,1.9468798582389464,-0.4745451962498395,-0.4736736092984604,-0.3582276697879306,False,False,True,False,False,False,False,False,False,False,True,0.05178119445170015,0,-6.918103639383482
17,0,3,-2.038994812025152,3.1548090514635256,0.7676298785983874,-0.0494059933787976,True,True,False,False,False,False,False,False,False,False,True,4.922438930061913,0,-0.010036893109444058
18,1,2,0.0667502967936168,-0.4745451962498395,-0.4736736092984604,-0.4288154815385896,True,False,True,False,False,False,False,False,False,False,True,0.05178119445170015,0,-8.281297603873835
19,0,3,0.14195547925143,0.4327933656785018,-0.4736736092984604,-0.3111691286208247,False,False,True,False,False,False,False,False,False,False,True,0.9591197563800413,0,-0.32443198729974565
20,1,3,-0.5724937540977952,-0.4745451962498395,-0.4736736092984604,-0.5646970191586081,False,False,False,False,False,False,False,False,False,False,True,0.05178119445170015,0,-10.905445985517764
21,0,2,0.4427762090826827,-0.4745451962498395,-0.4736736092984604,-0.1229349639524007,True,False,True,False,False,False,False,False,False,False,True,0.05178119445170015,0,-2.374123757748974
22,1,2,0.3675710266248695,-0.4745451962498395,-0.4736736092984604,-0.4288154815385896,True,False,True,False,False,True,False,False,False,False,False,0.05178119445170015,0,-8.281297603873835
23,1,3,-1.061327440073581,-0.4745451962498395,-0.4736736092984604,-0.5457747797553149,False,True,False,False,False,False,False,False,False,False,True,0.05178119445170015,0,-10.540019123436718
24,1,1,-0.0836600681220095,-0.4745451962498395,-0.4736736092984604,0.1005931065913526,True,False,True,False,False,False,False,False,False,False,False,0.05178119445170015,0,1.9426571298038062
25,0,3,-1.5877637172782733,2.247470489535184,0.7676298785983874,-0.2388166215763992,False,False,True,False,False,False,False,False,False,False,True,4.015100368133571,0,-0.059479614375720746
26,1,3,0.6683917564561223,0.4327933656785018,5.73284383018578,0.0038289813164909,False,False,True,False,False,False,False,False,False,False,True,7.1656371958642815,0,0.0005343532210507161
27,0,3,-0.3092756154954491,-0.4745451962498395,-0.4736736092984604,-0.5646970191586081,True,False,False,False,False,False,False,False,False,False,True,0.05178119445170015,0,-10.905445985517764
28,0,1,-0.7605067102423282,2.247470489535184,2.008933366495236,5.124238728242953,True,False,True,False,True,False,False,False,False,False,False,5.25640385603042,0,0.974856359707628
29,1,3,-0.5724937540977952,-0.4745451962498395,-0.4736736092984604,-0.5493041703428477,False,True,False,False,False,False,False,False,False,False,True,0.05178119445170015,0,-10.608178821661234
30,0,3,-0.3092756154954491,-0.4745451962498395,-0.4736736092984604,-0.5489135844511608,True,False,True,False,False,False,False,False,False,False,True,0.05178119445170015,0,-10.600635815057721
31,0,1,0.8188021213717487,-0.4745451962498395,-0.4736736092984604,-0.0824457951322227,True,False,False,False,False,False,False,False,False,False,True,0.05178119445170015,0,-1.5921956997173077
32,1,1,0.4427762090826827,0.4327933656785018,-0.4736736092984604,2.712831550193872,False,False,False,True,False,False,False,False,False,False,False,0.9591197563800413,0,2.82845967059711
33,1,3,-0.5724937540977952,-0.4745451962498395,-0.4736736092984604,-0.5523441521022427,False,True,False,False,False,False,False,False,False,False,True,0.05178119445170015,0,-10.66688704173195
34,0,2,2.7741368652748912,-0.4745451962498395,-0.4736736092984604,-0.4876386579974721,True,False,True,False,False,False,False,False,False,False,True,0.05178119445170015,0,-9.417292574282463
35,0,1,-0.0836600681220095,0.4327933656785018,-0.4736736092984604,1.1987229881422372,True,False,False,False,False,False,False,False,False,False,True,0.9591197563800413,0,1.249815760929082
36,0,1,0.969212486287375,0.4327933656785018,-0.4736736092984604,0.4888260712199769,True,False,True,False,False,False,False,False,False,False,True,0.9591197563800413,0,0.5096611429055837
37,1,3,-0.3092756154954491,-0.4745451962498395,-0.4736736092984604,-0.5645981962221572,True,False,False,False,False,False,False,False,False,False,True,0.05178119445170015,0,-10.903537513967478
38,0,3,-0.6100963453267019,-0.4745451962498395,-0.4736736092984604,-0.5452853709271769,True,False,True,False,False,False,False,False,False,False,True,0.05178119445170015,0,-10.530567645282916
39,0,3,-0.8357118927001413,1.340131927606843,-0.4736736092984604,-0.3111691286208247,False,False,True,False,False,False,False,False,False,False,True,1.8664583183083827,0,-0.16671635555346606
40,1,3,-1.136532622531394,0.4327933656785018,-0.4736736092984604,-0.4701869980056509,False,False,False,False,False,False,False,False,False,False,True,0.9591197563800413,0,-0.4902276226487656
41,0,3,0.8188021213717487,0.4327933656785018,-0.4736736092984604,-0.511756160345614,False,False,True,False,False,False,False,False,False,False,True,0.9591197563800413,0,-0.5335685736232879
42,0,2,-0.1588652505798227,0.4327933656785018,-0.4736736092984604,-0.2405813168701657,False,False,True,False,False,False,False,False,False,False,True,0.9591197563800413,0,-0.2508355346345695
43,0,3,-0.3092756154954491,-0.4745451962498395,-0.4736736092984604,-0.5489135844511608,True,False,False,False,False,False,False,False,False,False,True,0.05178119445170015,0,-10.600635815057721
44,1,2,-1.9637896295673392,0.4327933656785018,2.008933366495236,0.2436322483228879,False,False,False,False,False,False,False,False,False,False,True,3.4417267321737377,0,0.07078779556940995
45,1,3,-0.7605067102423282,-0.4745451962498395,-0.4736736092984604,-0.5493041703428477,False,True,False,False,False,False,False,False,False,False,True,0.05178119445170015,0,-10.608178821661234
46,0,3,-0.3092756154954491,-0.4745451962498395,-0.4736736092984604,-0.5452853709271769,True,False,True,False,False,False,False,False,False,False,True,0.05178119445170015,0,-10.530567645282916
47,0,3,-0.3092756154954491,0.4327933656785018,-0.4736736092984604,-0.3699923050797071,True,True,False,False,False,False,False,False,False,False,True,0.9591197563800413,0,-0.38576236452072565
48,1,3,-0.5724937540977952,-0.4745451962498395,-0.4736736092984604,-0.5523441521022427,False,True,False,False,False,False,False,False,False,False,True,0.05178119445170015,0,-10.66688704173195
49,0,3,-0.3092756154954491,1.340131927606843,-0.4736736092984604,-0.2246002362898164,True,False,False,False,False,False,False,False,False,False,True,1.8664583183083827,0,-0.12033498636785907
50,0,3,-0.8357118927001413,0.4327933656785018,-0.4736736092984604,-0.3158749827375353,False,False,True,False,False,False,False,False,False,False,True,0.9591197563800413,0,-0.32933841747742404
51,0,3,-1.6629688997360863,3.1548090514635256,0.7676298785983874,0.1991219271599807,True,False,True,False,False,False,False,False,False,False,True,4.922438930061913,0,0.04045188370828121
52,0,3,-0.6100963453267019,-0.4745451962498395,-0.4736736092984604,-0.5511676885730651,True,False,True,False,False,False,False,False,False,False,True,0.05178119445170015,0,-10.644167142323779
53,1,1,1.4956487634920672,0.4327933656785018,-0.4736736092984604,1.0706861093347757,False,False,False,False,False,True,False,False,False,False,False,0.9591197563800413,0,1.1163216086548085
54,1,2,-0.0084548856641963,0.4327933656785018,-0.4736736092984604,-0.1229349639524007,False,False,True,False,False,False,False,False,False,False,True,0.9591197563800413,0,-0.12817478019260922
55,0,1,2.6989316828170784,-0.4745451962498395,0.7676298785983874,0.7236293682273689,True,False,False,True,False,False,False,False,False,False,False,1.2930846823485478,0,0.5596148327370847
56,1,1,0.8188021213717487,-0.4745451962498395,-0.4736736092984604,0.1005931065913526,True,False,True,False,True,False,False,False,False,False,False,0.05178119445170015,0,1.9426571298038062
57,1,2,-0.6100963453267019,-0.4745451962498395,-0.4736736092984604,-0.4876386579974721,False,False,True,False,False,False,False,False,False,False,True,0.05178119445170015,0,-9.417292574282463
58,0,3,-0.0460574768931029,-0.4745451962498395,-0.4736736092984604,-0.5645981962221572,True,False,False,False,False,False,False,False,False,False,True,0.05178119445170015,0,-10.903537513967478
59,1,2,-1.8133792646517128,0.4327933656785018,2.008933366495236,-0.081758740431183,False,False,True,False,False,False,False,False,False,False,True,3.4417267321737377,0,-0.023755151641439452
60,0,3,-1.3621481699048337,4.062147613391868,2.008933366495236,0.3688267912438566,True,False,True,False,False,False,False,False,False,False,True,7.071080979887104,0,0.052159887900158824
61,0,3,-0.5348911628688886,-0.4745451962498395,-0.4736736092984604,-0.5645981962221572,True,False,False,False,False,False,False,False,False,False,True,0.05178119445170015,0,-10.903537513967478
62,1,1,0.6683917564561223,-0.4745451962498395,-0.4736736092984604,1.1476456475594603,False,False,True,True,False,False,False,False,False,False,False,0.05178119445170015,0,22.16336760307736
63,0,1,1.1948280336608146,0.4327933656785018,-0.4736736092984604,1.229409862837307,True,False,True,False,True,False,False,False,False,False,False,0.9591197563800413,0,1.281810592117723
64,0,3,-1.8885844471095257,2.247470489535184,2.008933366495236,-0.0782293498436501,True,False,True,False,False,False,False,False,False,False,True,5.25640385603042,0,-0.01488267492116332
65,0,1,0.8188021213717487,-0.4745451962498395,-0.4736736092984604,-0.0824457951322227,True,False,False,False,False,False,False,False,False,False,True,0.05178119445170015,0,-1.5921956997173077
66,1,3,-0.3092756154954491,0.4327933656785018,0.7676298785983874,-0.3759734456620463,True,False,False,False,False,False,False,False,False,False,True,2.200423244276889,0,-0.17086414926761057
67,1,2,-0.0084548856641963,-0.4745451962498395,-0.4736736092984604,-0.4876386579974721,False,False,True,False,False,False,False,True,False,False,False,0.05178119445170015,0,-9.417292574282463
